rumah,집,Rumahnya sederhana tetapi selalu terasa hangat dan nyaman.,그의 집은 소박하지만 항상 따뜻하고 편안하게 느껴진다.
kamar,방,Kamarnya selalu rapi dan bersih setiap harinya.,그의 방은 매일 항상 깔끔하고 깨끗하다.
dapur,부엌,Dapur adalah tempat favoritnya untuk berkreasi.,부엌은 그가 창의력을 발휘하는 가장 좋아하는 공간이다.
kamar mandi,욕실/화장실,Kamar mandi itu selalu dijaga kebersihannya.,욕실은 항상 청결이 유지된다.
ruang tamu,거실,Ruang tamu itu didekorasi dengan sederhana namun elegan.,거실은 소박하지만 우아하게 꾸며져 있다.
kamar tidur,침실,Kamar tidurnya nyaman dengan pencahayaan yang lembut.,그의 침실은 부드러운 조명으로 편안하다.
jendela,창문,Ia membuka jendela setiap pagi untuk menghirup udara segar.,그는 신선한 공기를 마시기 위해 매일 아침 창문을 연다.
lantai,바닥/층,Lantai rumahnya terbuat dari kayu yang mengkilap.,그 집의 바닥은 윤기 있는 나무로 만들어졌다.
atap,지붕,Atapnya bocor saat hujan deras tiba.,폭우가 쏟아지면 지붕에서 물이 샌다.
dinding,벽,Dindingnya dihiasi dengan foto-foto kenangan keluarga.,벽은 가족의 추억 사진들로 꾸며져 있다.
tangga,계단,Ia menaiki tangga dengan hati-hati karena membawa barang bawaan.,짐을 들고 있어서 그는 조심스럽게 계단을 올랐다.
halaman,마당/정원,Halamannya penuh dengan tanaman bunga yang berwarna-warni.,그의 마당은 형형색색의 꽃식물로 가득하다.
ruangan,방/공간,Ruangan itu terasa sempit karena terlalu banyak perabot.,방이 가구가 너무 많아서 좁게 느껴진다.
pagar,울타리/담,Pagar rumahnya dicat ulang agar terlihat lebih baru.,그의 집 울타리가 더 새것처럼 보이도록 다시 칠해졌다.
sumur,우물,Dahulu warga mengambil air dari sumur setiap hari.,예전에 주민들은 매일 우물에서 물을 길었다.
garasi,차고,Mobilnya diparkir di garasi setiap malam.,그의 차는 매일 밤 차고에 주차된다.
kursi,의자,Ia duduk di kursi favoritnya sambil membaca buku.,그는 좋아하는 의자에 앉아 책을 읽는다.
meja,책상/탁자,Di atas meja itu terdapat tumpukan buku dan catatan.,그 책상 위에는 책과 메모들이 쌓여 있다.
sofa,소파,Ia berbaring di sofa setelah pulang kerja yang melelahkan.,피곤한 퇴근 후 그는 소파에 누웠다.
lemari,옷장/장롱,Lemari pakaiannya penuh sesak dengan berbagai jenis baju.,그의 옷장은 다양한 종류의 옷으로 가득 차 있다.
tempat tidur,침대,Tempat tidurnya sangat empuk sehingga ia cepat tertidur.,그의 침대는 매우 푹신해서 금방 잠이 든다.
bantal,베개,Ia memeluk bantalnya erat-erat saat merasa kesepian.,외로울 때 그는 베개를 꼭 껴안는다.
selimut,이불/담요,Ia membungkus dirinya dengan selimut tebal saat kedinginan.,추울 때 그는 두꺼운 이불로 몸을 감쌌다.
rak,선반,Rak buku itu penuh dengan buku-buku dari berbagai genre.,그 책 선반은 다양한 장르의 책들로 가득하다.
lampu,전등/램프,Lampu kamarnya redup dan menciptakan suasana yang hangat.,그의 방 전등은 은은하게 빛나며 따뜻한 분위기를 만든다.
cermin,거울,Ia bercermin sebelum berangkat ke tempat kerja.,그는 직장에 가기 전에 거울을 본다.
kunci,열쇠,Ia lupa membawa kunci rumahnya saat pergi tadi.,그는 아까 나갈 때 집 열쇠를 가져오는 것을 잊었다.
pintu,문,Yesus berkata Akulah pintu bagi domba-domba.,예수님은 나는 양들의 문이라고 말씀하셨다.
tas,가방,Tasnya dipenuhi dengan berbagai keperluan sehari-hari.,그의 가방은 다양한 일상용품으로 가득하다.
kantong,주머니/봉지,Ia menyimpan kunci di dalam kantong celananya.,그는 바지 주머니 안에 열쇠를 넣었다.
payung,우산,Ia membawa payung karena cuaca mendung hari ini.,오늘 날씨가 흐려서 그는 우산을 가져왔다.
piring,접시,Piring-piring itu dicuci hingga bersih setelah makan.,식사 후 접시들이 깨끗하게 씻겼다.
gelas,컵/유리잔,Gelas itu jatuh dan pecah menjadi berkeping-keping.,그 컵이 떨어져서 산산조각으로 깨졌다.
sendok,숟가락,Sendok dan garpu sudah disiapkan di atas meja makan.,숟가락과 포크가 식탁 위에 이미 준비되어 있다.
garpu,포크,Garpu digunakan untuk menyuap makanan yang padat.,포크는 고체 음식을 먹을 때 사용된다.
pisau,칼,Pisau dapur itu harus selalu dijaga ketajamannya.,부엌칼은 항상 날카로움을 유지해야 한다.
mangkuk,그릇/볼,Mangkuk besar itu diisi penuh dengan sup yang panas.,그 큰 그릇은 뜨거운 수프로 가득 채워졌다.
nampan,쟁반,Ia membawa makanan ke meja menggunakan nampan.,그는 쟁반을 이용해 음식을 식탁으로 가져왔다.
wajan,프라이팬/웍,Wajan itu dipanaskan di atas kompor sebelum memasak.,요리하기 전에 프라이팬이 가스레인지 위에서 가열되었다.
kompor,가스레인지/레인지,Kompor gasnya mati karena tabung gasnya habis.,가스통이 다 떨어져서 가스레인지가 꺼졌다.
kulkas,냉장고,Simpan sisa makanan itu di dalam kulkas agar tidak basi.,음식이 상하지 않도록 남은 음식을 냉장고에 보관해라.
sabun,비누,Cuci tangan dengan sabun sebelum dan sesudah makan.,먹기 전후에 비누로 손을 씻어라.
sampo,샴푸,Rambutnya terasa lebih bersih setelah menggunakan sampo baru.,새 샴푸를 사용한 후 머리카락이 더 깨끗하게 느껴진다.
sikat gigi,칫솔,Ganti sikat gigi setiap tiga bulan sekali.,칫솔은 3개월마다 한 번씩 교체해라.
pasta gigi,치약,Pasta gigi berfluoride baik untuk memperkuat enamel gigi.,불소 함유 치약은 치아 에나멜을 강화하는 데 좋다.
handuk,수건,Handuknya selalu dijemur di bawah sinar matahari.,그의 수건은 항상 햇볕에 말려진다.
tisu,화장지/티슈,Ia mengambil tisu untuk mengelap tangannya yang basah.,그는 젖은 손을 닦기 위해 티슈를 꺼냈다.
sikat,솔/브러시,Sikat lantai itu digunakan untuk membersihkan kamar mandi.,그 바닥 솔은 욕실 청소에 사용된다.
ember,양동이,Ia mengisi ember dengan air untuk mengepel lantai.,그는 바닥을 닦기 위해 양동이에 물을 채웠다.
sapu,빗자루,Ia menyapu halaman setiap pagi sebelum berangkat kerja.,그는 출근 전에 매일 아침 마당을 쓴다.
mencuci,씻다/빨다,Saya mencuci tangan sebelum makan.,나는 밥 먹기 전에 손을 씻는다.
membersihkan,청소하다,Dia membersihkan kamarnya setiap Sabtu.,그는 매주 토요일에 방을 청소한다.
menyapu,쓸다,Nenek menyapu halaman rumah setiap pagi.,할머니는 매일 아침 집 마당을 쓴다.
mengepel,걸레질하다,Dia mengepel lantai hingga bersih.,그는 바닥이 깨끗해질 때까지 걸레질했다.
mencuci piring,설거지하다,Giliran saya mencuci piring malam ini.,오늘 밤은 내가 설거지할 차례다.
menjemur,햇볕에 말리다,Ibu menjemur pakaian di halaman belakang.,어머니는 뒤뜰에서 빨래를 말린다.
menyetrika,다림질하다,Dia menyetrika baju seragamnya sendiri.,그는 교복을 직접 다림질했다.
