melarang,금지하다,Guru melarang siswa memakai ponsel di kelas.,선생님은 학생들이 수업 중에 스마트폰을 쓰는 것을 금지했다.
mengizinkan,허락하다,Orang tua mengizinkan anaknya pergi berkemah.,부모님은 아이가 캠핑 가는 것을 허락했다.
mendaftarkan,등록하다,Ibu mendaftarkan anaknya ke sekolah baru.,어머니는 아이를 새 학교에 등록했다.
membatalkan,취소하다,Dia terpaksa membatalkan rencananya.,그는 어쩔 수 없이 계획을 취소했다.
mewakili,대표하다,Dia mewakili sekolahnya dalam olimpiade sains.,그는 과학 올림피아드에서 학교를 대표했다.
mencalonkan,추천하다/후보로 내세우다,Partai itu mencalonkan tokoh muda untuk pemilu.,그 당은 선거에 젊은 인물을 후보로 내세웠다.
meresmikan,공식 개통하다/출범시키다,Presiden meresmikan jembatan baru itu.,대통령이 새 다리를 공식 개통했다.
menandatangani,서명하다,Kedua pemimpin menandatangani perjanjian damai.,두 지도자가 평화 협정에 서명했다.
melaporkan,보고하다/신고하다,Dia melaporkan kejadian itu kepada polisi.,그는 그 사건을 경찰에 신고했다.
secara resmi,공식적으로,Peraturan itu belum secara resmi diberlakukan.,그 규정은 아직 공식적으로 시행되지 않았다.
polisi,경찰,Polisi itu bertugas menjaga keamanan dan ketertiban masyarakat.,그 경찰은 사회의 안전과 질서를 유지하는 임무를 맡고 있다.
tentara,군인,Tentara itu berjaga di perbatasan negara setiap hari.,그 군인은 매일 국경에서 경계 근무를 선다.
presiden,대통령,Presiden baru itu dilantik dengan upacara yang khidmat.,새 대통령은 엄숙한 의식과 함께 취임했다.
menteri,장관,Menteri pendidikan itu mengumumkan kebijakan baru tentang kurikulum.,그 교육부 장관은 교육과정에 관한 새로운 정책을 발표했다.
hakim,판사,Hakim itu memutuskan perkara dengan bijaksana dan adil.,그 판사는 사건을 지혜롭고 공정하게 판결했다.
pengacara,변호사,Pengacara itu membela kliennya dengan sangat gigih.,그 변호사는 의뢰인을 매우 끈질기게 변호했다.
masyarakat,사회/대중,Masyarakat harus bersatu untuk menghadapi tantangan bersama.,사회는 공동의 도전에 맞서기 위해 단결해야 한다.
warga,시민/주민,Warga setempat bergotong-royong membersihkan lingkungan.,지역 주민들이 환경 청소를 위해 협력했다.
pemerintah,정부,Pemerintah mengeluarkan kebijakan baru untuk meningkatkan kesejahteraan.,정부는 복지 향상을 위한 새로운 정책을 발표했다.
negara,국가/나라,Negara yang kuat adalah negara yang rakyatnya bersatu.,강한 나라는 국민이 단결된 나라이다.
bangsa,민족/국민,Bangsa yang besar adalah bangsa yang menghargai sejarahnya.,위대한 민족은 자신의 역사를 소중히 여기는 민족이다.
hukum,법/법률,Hukum harus ditegakkan secara adil bagi semua orang.,법은 모든 사람에게 공정하게 집행되어야 한다.
aturan,규칙/규정,Aturan dibuat untuk menjaga ketertiban bersama.,규칙은 공동의 질서를 유지하기 위해 만들어진다.
kebebasan,자유,Kebebasan yang bertanggung jawab adalah kebebasan yang sejati.,책임 있는 자유가 진정한 자유이다.
perdamaian,평화/화해,Perdamaian hanya bisa terwujud jika ada saling pengertian.,평화는 상호 이해가 있을 때만 실현될 수 있다.
persatuan,단결/통합,Persatuan adalah kekuatan terbesar yang dimiliki suatu bangsa.,단결은 한 민족이 가진 가장 큰 힘이다.
kemerdekaan,독립/자유,Kemerdekaan Indonesia diproklamasikan pada tanggal tujuh belas Agustus.,인도네시아 독립은 8월 17일에 선포되었다.
