doa,기도,Doa adalah cara kita berbicara langsung kepada Tuhan.,기도는 우리가 하나님께 직접 말씀드리는 방법이다.
berdoa,기도하다,Kami berdoa bersama sebelum makan.,우리는 밥 먹기 전에 함께 기도한다.
pujian,찬송/찬양,Pujian adalah persembahan yang menyenangkan hati Tuhan.,찬양은 주님의 마음을 기쁘게 하는 제물이다.
puji-pujian,찬양,Puji-pujian membuka hati kita kepada Tuhan.,찬양은 우리의 마음을 주님께 열어 준다.
memuji,찬양하다,Mari kita memuji Tuhan dengan segenap hati.,온 마음으로 주님을 찬양하자.
bersyukur,감사하다,Kita harus bersyukur dalam segala keadaan.,우리는 모든 상황에서 감사해야 한다.
berpuasa,금식하다,Berpuasa dan berdoa memperkuat hubungan kita dengan Tuhan.,금식하고 기도하는 것은 주님과의 관계를 강하게 한다.
bersyafaat,중보 기도하다,Kita dipanggil untuk bersyafaat bagi sesama.,우리는 서로를 위해 중보 기도하도록 부름받았다.
merenungkan,묵상하다,Merenungkan firman Tuhan setiap hari membawa damai.,매일 주님의 말씀을 묵상하면 평안이 온다.
bersandar,의지하다,Bersandarlah kepada Tuhan dengan sepenuh hati.,온 마음으로 주님께 의지하라.
menantikan,기다리다/기대하다,Kita menantikan kedatangan Tuhan yang kedua kali.,우리는 주님의 재림을 기다린다.
berserah,항복하다/내어 드리다,Berserahlah kepada kehendak Tuhan dalam segala hal.,모든 일에서 주님의 뜻에 내어 드리라.
menaati,순종하다,Kita harus menaati perintah Tuhan dengan sukacita.,우리는 기쁨으로 주님의 명령에 순종해야 한다.
syafaat,중보/도고,Syafaat Kristus menjadi perantara kita kepada Allah.,그리스도의 중보는 우리가 하나님께 나아가는 통로이다.
koor,성가대,Koor gereja menyanyikan lagu pujian dengan indah.,교회 성가대가 아름답게 찬양가를 불렀다.
doa syafaat,중보 기도,Doa syafaat adalah berdoa bagi kebutuhan orang lain.,중보 기도는 다른 사람의 필요를 위해 기도하는 것이다.
doa pujian,찬양 기도,Doa pujian meninggikan nama Tuhan atas segalanya.,찬양 기도는 모든 것 위에 주님의 이름을 높인다.
doa pengakuan,고백 기도,Doa pengakuan membawa kita pada pemulihan hubungan dengan Tuhan.,고백 기도는 우리를 주님과의 관계 회복으로 이끈다.
meditasi,묵상/명상,Meditasi Kristen berfokus pada firman Allah.,기독교 묵상은 하나님의 말씀에 집중한다.
saat teduh,경건의 시간,Saat teduh setiap pagi menyegarkan jiwa dan roh kita.,매일 아침 경건의 시간이 우리의 혼과 영을 새롭게 한다.
nyanyian rohani,영적 노래,Nyanyian rohani mengungkapkan isi hati kepada Tuhan.,영적 노래는 주님께 마음의 내용을 표현한다.
himne,찬송가,Himne gereja penuh dengan kebenaran teologis yang dalam.,교회 찬송가는 깊은 신학적 진리로 가득하다.
lagu penyembahan,경배 찬양,Lagu penyembahan membawa jemaat masuk ke hadirat Tuhan.,경배 찬양은 교인들을 주님의 임재 안으로 이끈다.
doa bersama,합심 기도,Doa bersama memiliki kuasa yang luar biasa.,합심 기도는 놀라운 능력을 가지고 있다.
doa penutup,마무리 기도,Doa penutup mengakhiri ibadah dengan ucapan syukur.,마무리 기도는 감사의 말로 예배를 끝맺는다.
paduan suara,합창단,Paduan suara menyanyikan lagu pujian dengan harmoni yang indah.,합창단은 아름다운 화음으로 찬양을 부른다.
kantata,칸타타,Kantata adalah karya musik rohani yang dinyanyikan dalam ibadah.,칸타타는 예배에서 불리는 영적 음악 작품이다.
memuliakan,영화롭게 하다,Tujuan hidup kita adalah memuliakan Allah.,우리 삶의 목적은 하나님을 영화롭게 하는 것이다.
memohon,간구하다,Kita boleh memohon dengan berani di hadapan takhta kasih karunia.,우리는 은혜의 보좌 앞에 담대히 간구할 수 있다.
membaca Alkitab,성경을 읽다,Membaca Alkitab setiap hari memperkuat iman kita.,매일 성경을 읽는 것은 우리의 믿음을 강하게 한다.
