waktu,시간/때,Waktu adalah hal yang paling berharga dan tidak bisa diulang.,시간은 가장 소중한 것이며 되돌릴 수 없다.
hari,날/하루,Setiap hari adalah kesempatan baru untuk menjadi lebih baik.,매일은 더 나아질 수 있는 새로운 기회이다.
minggu,주/일주일,Ia beristirahat total selama seminggu penuh.,그는 꼬박 일주일 동안 완전히 쉬었다.
tahun,해/년,Tahun baru adalah saat yang tepat untuk membuat resolusi baru.,새해는 새로운 결심을 세우기에 적절한 때이다.
pagi,아침,Pagi hari adalah waktu terbaik untuk berdoa dan merenung.,아침은 기도하고 묵상하기 가장 좋은 시간이다.
siang,낮,Siang hari yang terik membuatnya mencari tempat berteduh.,뜨거운 낮에 그는 그늘을 찾았다.
sore,오후/저녁 무렵,Mereka biasa berjalan-jalan di sore hari.,그들은 보통 오후에 산책을 한다.
malam,밤,Malam yang sunyi memberinya ketenangan untuk berpikir.,고요한 밤이 그에게 생각할 수 있는 평온함을 준다.
saat,순간/때,Saat itulah ia menyadari betapa berharganya hidup ini.,바로 그 순간 그는 이 삶이 얼마나 소중한지 깨달았다.
fajar,새벽/여명,Fajar menyingsing menandakan hari baru telah dimulai.,여명이 밝아옴은 새로운 하루가 시작되었음을 알린다.
senja,황혼/석양,Senja yang indah itu membuatnya terdiam dalam kekaguman.,그 아름다운 황혼은 그를 감탄 속에 말없이 서 있게 했다.
masa lalu,과거,Masa lalunya tidak selalu indah tetapi membentuk dirinya.,그의 과거가 항상 아름답지는 않았지만 그를 만들어 나갔다.
masa depan,미래,Masa depan yang cerah menanti mereka yang bekerja keras.,열심히 일하는 사람들을 위해 밝은 미래가 기다린다.
usia,나이/연령,Usianya masih muda tetapi pikirannya sudah dewasa.,그는 나이는 어리지만 생각이 이미 성숙하다.
sekarang,지금,Sekarang saya sedang belajar bahasa Indonesia.,나는 지금 인도네시아어를 공부하고 있다.
nanti,나중에/이따가,Kita akan bicara nanti setelah makan.,우리는 식사 후에 나중에 이야기할 것이다.
tadi,아까/방금 전에,Tadi saya melihat dia di pasar.,나는 아까 시장에서 그를 보았다.
kemarin,어제,Kemarin saya tidak masuk kerja karena sakit.,어제 나는 아파서 출근하지 않았다.
besok,내일,Besok kita akan pergi ke pantai bersama.,내일 우리는 함께 해변에 갈 것이다.
dulu,먼저/예전에,Makan dulu sebelum pergi.,가기 전에 먼저 먹어라.
akhirnya,마침내/결국,Akhirnya dia berhasil lulus ujian itu.,마침내 그는 그 시험에 합격했다.
sebentar,잠깐/잠시,Tunggu sebentar ya saya akan kembali.,잠깐 기다려요 곧 돌아올게요.
segera,곧바로/바로,Dia segera pergi setelah mendengar berita itu.,그는 그 소식을 듣고 곧바로 떠났다.
lusa,모레,Lusa saya akan berangkat ke Jakarta.,나는 모레 자카르타로 출발할 것이다.
kemarin lusa,그저께,Kemarin lusa kami mengadakan rapat besar.,그저께 우리는 큰 회의를 열었다.
minggu lalu,지난주에,Minggu lalu saya bertemu dengan teman lama.,지난주에 나는 오랜 친구를 만났다.
minggu depan,다음 주에,Minggu depan ada ujian penting di sekolah.,다음 주에 학교에서 중요한 시험이 있다.
bulan lalu,지난달에,Bulan lalu harga bahan makanan naik drastis.,지난달에 식료품 가격이 급격히 올랐다.
bulan depan,다음 달에,Bulan depan kami akan pindah ke rumah baru.,다음 달에 우리는 새집으로 이사할 것이다.
tahun lalu,작년에,Tahun lalu saya mengunjungi Bali untuk pertama kali.,작년에 나는 처음으로 발리를 방문했다.
tahun depan,내년에,Tahun depan dia berencana menikah.,내년에 그는 결혼할 계획이다.
sejak dulu,예로부터/오래전부터,Sejak dulu daerah ini dikenal sebagai penghasil kopi.,예로부터 이 지역은 커피 산지로 알려져 있다.
sejak tadi,아까부터/이전부터,Dia sudah menunggu sejak tadi pagi.,그는 오늘 아침부터 기다리고 있었다.
sebelumnya,이전에/그 전에,Sebelumnya saya tidak pernah mencoba masakan ini.,이전에 나는 이 요리를 먹어 본 적이 없었다.
sesudahnya,그 후에/이후에,Sesudahnya kami pergi makan bersama.,그 후에 우리는 함께 밥을 먹으러 갔다.
sementara itu,그동안/한편,Sementara itu ibu menyiapkan makan malam di dapur.,그동안 어머니는 주방에서 저녁을 준비하셨다.
seiring waktu,시간이 흐르면서,Seiring waktu luka itu perlahan sembuh.,시간이 흐르면서 그 상처는 서서히 나았다.
pada akhirnya,결국에는,Pada akhirnya kebenaran selalu terungkap.,결국에는 진실은 항상 드러난다.
awal,이른/초기의,Dia selalu datang awal ke kantor.,그는 항상 일찍 회사에 온다.
terlambat,늦은,Dia terlambat ke sekolah hari ini.,그는 오늘 학교에 늦었다.
permanen,영구적인,Kerusakan itu bersifat permanen dan tidak bisa diperbaiki.,그 손상은 영구적이어서 고칠 수 없다.
sementara,임시적인/일시적인,Ini hanya solusi sementara bukan yang permanen.,이것은 영구적인 것이 아닌 임시적인 해결책이다.
memperpanjang,연장하다,Saya ingin memperpanjang visa saya.,나는 비자를 연장하고 싶다.
menunda,미루다/연기하다,Rapat itu ditunda hingga besok.,그 회의는 내일로 연기되었다.
